prob_class_0,prob_class_1,true_label
0.98553246,0.014467542,0
0.9878605,0.012139494,0
0.99073315,0.009266787,0
0.4736372,0.5263628,0
0.9606169,0.03938318,0
0.54601616,0.45398384,1
0.8646413,0.13535875,1
0.022899525,0.9771005,1
0.467367,0.532633,1
0.8606499,0.13935018,0
0.9412734,0.058726616,0
0.9926555,0.0073445053,0
0.5654241,0.43457595,1
0.978717,0.021282941,0
0.16642366,0.8335763,1
0.6965235,0.30347645,1
0.7926577,0.20734234,0
0.41981822,0.58018184,1
0.9902546,0.009745381,0
0.82925904,0.17074095,0
0.9383303,0.06166976,0
0.025689783,0.97431016,1
0.38745287,0.6125471,0
0.4643239,0.53567606,0
0.99808854,0.0019113861,0
0.38127437,0.61872566,1
0.80578876,0.19421124,1
0.8284764,0.17152357,0
0.7160357,0.28396422,1
0.0649575,0.93504244,1
0.8575317,0.14246821,0
0.030904425,0.96909565,1
0.99597436,0.0040256623,0
0.9642057,0.035794273,0
0.99960643,0.00039361502,0
0.95415616,0.045843855,0
0.05471605,0.945284,1
0.43737727,0.5626228,1
0.9934034,0.006596655,0
0.9867236,0.0132764485,0
0.9325155,0.06748457,0
0.785257,0.214743,1
0.56325006,0.43674996,0
0.04374713,0.9562529,0
0.2710674,0.7289327,1
0.9558935,0.044106532,0
0.9070654,0.092934564,1
0.097859904,0.9021401,1
0.18139099,0.818609,1
0.965176,0.034823976,1
0.9256809,0.07431914,0
0.39054063,0.60945934,1
0.064011656,0.9359883,1
0.9614953,0.03850475,0
0.9461395,0.05386048,0
0.84510034,0.15489964,0
0.9788632,0.021136764,0
0.93989766,0.06010241,0
0.791206,0.208794,0
0.1184957,0.8815043,1
0.27728206,0.722718,1
0.917217,0.082783006,1
0.989185,0.010815092,0
0.6344448,0.3655552,0
0.9591286,0.04087139,1
0.7755652,0.22443476,0
0.5018491,0.49815086,0
0.95097107,0.049028974,0
0.9515023,0.048497677,0
0.12712513,0.8728748,1
0.91019565,0.08980437,0
0.7854267,0.21457335,1
0.98537374,0.014626208,0
0.95593566,0.044064365,0
0.30995896,0.690041,0
0.035422184,0.9645778,1
0.98571986,0.014280142,1
0.8915923,0.10840763,0
0.12404424,0.87595576,1
0.19937482,0.8006252,1
0.8634761,0.13652396,0
0.9871737,0.012826357,0
0.9976109,0.0023890426,0
0.035422184,0.9645778,1
0.7067651,0.29323485,0
0.26637113,0.7336289,1
0.9201217,0.0798783,0
0.041808676,0.9581914,1
0.2406382,0.75936174,1
0.095867395,0.90413254,1
0.2977007,0.7022993,1
0.5584902,0.44150978,1
0.5694367,0.4305633,0
0.3932324,0.6067676,1
0.8918455,0.10815453,0
0.9531663,0.04683367,0
0.94472104,0.055278942,0
0.98401165,0.015988383,0
0.89631784,0.103682235,0
0.81344277,0.1865573,1
0.24683443,0.7531656,1
0.02343224,0.9765678,1
0.994589,0.005411074,1
0.078465745,0.92153424,1
0.39385518,0.60614485,1
0.081091106,0.9189089,1
0.033450212,0.96654975,1
0.99045616,0.0095438175,0
0.9770164,0.022983627,1
0.9412802,0.058719866,0
0.8922766,0.10772337,0
0.96440315,0.035596807,0
0.8966729,0.10332711,0
0.019044697,0.9809553,1
0.98071504,0.01928493,0
0.06168625,0.9383137,1
0.0113705555,0.98862946,1
0.29360905,0.706391,1
0.9603778,0.0396222,0
0.96552795,0.034472115,0
0.019887641,0.9801123,1
0.897991,0.102009036,0
0.6054375,0.39456248,1
0.95539,0.04461003,0
0.019280449,0.9807195,1
0.9869611,0.0130388485,0
0.10568752,0.89431244,0
0.9897787,0.0102213295,0
0.35066167,0.64933836,1
0.13636936,0.8636306,1
0.9387958,0.06120424,0
0.4345199,0.5654801,0
0.8253159,0.17468409,0
0.912472,0.08752802,0
0.664047,0.33595303,1
0.8402068,0.15979317,0
0.9484617,0.05153833,0
0.59105754,0.4089424,1
0.69626755,0.30373237,0
0.95253724,0.04746271,0
0.15353191,0.8464681,1
0.85951704,0.14048298,0
0.41877303,0.58122694,1
0.9570887,0.04291131,0
0.51757294,0.4824271,1
0.986969,0.013030923,1
0.9771631,0.0228369,0
0.09090788,0.90909207,1
0.99344456,0.0065554897,0
0.97495973,0.02504029,0
0.006799683,0.99320036,1
0.9978988,0.0021011801,0
0.11690419,0.8830958,1
0.36721328,0.6327867,1
0.6691283,0.33087167,0
0.89364344,0.10635657,0
0.69957936,0.3004206,0
0.012351034,0.9876489,1
0.9818761,0.018123949,0
0.68834716,0.31165284,0
0.79374087,0.20625916,0
0.8742645,0.12573548,0
0.9952825,0.0047175772,0
0.9291661,0.07083396,0
0.19736429,0.80263567,1
0.5186926,0.48130742,1
0.39719304,0.6028069,1
0.93854845,0.06145155,1
0.21779367,0.7822063,1
0.032266177,0.9677338,1
0.70359,0.29641005,0
0.042491376,0.9575087,1
0.99520504,0.004794974,0
0.92945504,0.07054493,1
0.01822081,0.98177916,1
0.10092275,0.89907724,1
0.9244662,0.07553376,0
0.999129,0.0008709822,0
0.9456941,0.054305967,0
0.99542737,0.0045725508,0
0.17048785,0.8295121,0
0.71366537,0.28633463,0
0.7717604,0.22823955,0
0.029609393,0.9703907,1
