prob_class_0,prob_class_1,prob_class_2,true_label
0.0003440646,0.017857192,0.9817987,2
0.83256215,0.1528873,0.01455056,0
0.1266181,0.52499026,0.34839168,2
1.6818763e-05,0.0014414025,0.99854183,2
0.005903895,0.67442095,0.3196752,1
0.008535585,0.04681207,0.9446523,2
0.30108395,0.60381263,0.095103405,1
0.000977702,0.0027074006,0.99631494,2
0.029088607,0.25380823,0.7171031,2
0.01908143,0.6791092,0.30180937,1
0.01560878,0.06672079,0.9176704,2
1.1097604e-06,0.00010836787,0.99989057,2
0.30358386,0.5139896,0.18242653,0
0.004530646,0.08879553,0.90667385,2
0.027424322,0.69693106,0.2756446,1
0.33723918,0.07045195,0.5923089,0
0.059108835,0.83906543,0.10182577,1
0.019772679,0.041351534,0.93887573,2
0.047105376,0.0073880004,0.9455067,2
0.72891456,0.25696763,0.0141178295,0
0.00012914868,0.0047552222,0.99511564,2
0.23697035,0.08487646,0.6781532,0
0.85423565,0.12414844,0.02161583,0
0.03030862,0.018511599,0.9511798,2
0.19439417,0.6575249,0.14808093,1
0.61978513,0.35770735,0.022507502,0
0.007302095,0.049404375,0.94329345,2
0.000702065,0.003358894,0.995939,2
0.8319489,0.15993765,0.008113467,0
0.0003987629,0.0011344465,0.9984668,2
0.20892748,0.12622571,0.66484684,0
0.003912402,0.018133048,0.9779546,2
0.005046804,0.06202237,0.9329308,2
0.92176133,0.036866862,0.04137172,0
0.00034492937,0.010736862,0.9889181,2
0.01609378,0.03464527,0.949261,2
0.001973436,0.007546723,0.9904799,2
0.74860287,0.22856532,0.022831814,0
0.049692553,0.085774645,0.8645328,0
0.05030353,0.70601046,0.24368599,1
0.059615426,0.6249626,0.31542197,1
0.11640973,0.5415767,0.3420136,1
0.050618127,0.378213,0.57116884,2
0.12661809,0.52499026,0.34839168,1
0.22670968,0.6873366,0.085953675,1
0.32795063,0.022983821,0.6490656,0
0.011615239,0.042473085,0.9459117,2
0.08974311,0.7984664,0.11179053,1
0.41132694,0.35274178,0.23593137,1
3.2686305e-05,0.0010180259,0.99894935,2
0.89794266,0.10038325,0.001674123,0
0.0026383828,0.6592332,0.3381284,2
0.39256006,0.5399262,0.067513816,1
0.07929432,0.7034161,0.21728961,1
0.06503304,0.67602515,0.25894186,1
0.00029107722,0.0009849534,0.9987239,2
0.00082710036,0.0028803463,0.99629253,2
0.22406945,0.5964465,0.17948405,1
0.49404976,0.3674965,0.13845374,0
0.0002504806,0.0029292835,0.9968202,2
0.00386009,0.0020762805,0.9940637,2
0.14965911,0.47092685,0.37941402,1
0.023380918,0.09834719,0.8782718,2
0.0066398075,0.537343,0.4560172,1
4.3907494e-05,0.00074081257,0.99921525,2
0.27853575,0.5614977,0.15996651,1
7.590874e-06,5.4496642e-05,0.9999379,2
0.04538786,0.01092022,0.94369197,2
0.006758584,0.006202215,0.98703915,2
0.044389505,0.3224263,0.6331842,1
0.06085629,0.11428876,0.8248549,2
0.08951751,0.7389003,0.17158222,2
0.06929546,0.4318882,0.49881643,1
0.22576289,0.04263598,0.7316011,0
0.12396765,0.79305744,0.08297497,1
7.485998e-05,6.0463288e-05,0.9998647,2
0.054747578,0.43469846,0.510554,2
