prob_class_0,prob_class_1,true_label
0.99996936,3.0681476e-05,0
0.9999683,3.168878e-05,0
0.9999672,3.2781576e-05,0
0.99996746,3.2599637e-05,0
0.99996746,3.253951e-05,0
0.9999678,3.2132768e-05,0
0.99988043,0.0001195971,0
0.00176178,0.9982382,1
0.99995744,4.2598775e-05,1
0.0018056391,0.9981944,1
0.0029864938,0.99701345,1
0.0017540499,0.99824595,1
0.003101637,0.9968984,1
0.99996734,3.2617267e-05,0
0.0016213036,0.99837863,1
0.0017189819,0.998281,1
0.9999634,3.6620713e-05,0
0.9999676,3.2389627e-05,0
0.99996734,3.268674e-05,0
0.99996734,3.2647393e-05,0
0.0020126891,0.9979873,1
0.0017294382,0.9982705,1
0.0075779767,0.99242204,1
0.0065348083,0.9934651,1
0.04536871,0.9546313,0
0.0016592123,0.9983407,1
0.9999677,3.226382e-05,0
0.99996734,3.2627566e-05,0
0.0016762711,0.99832374,1
0.0016225104,0.99837744,1
0.04218326,0.9578168,1
0.99996674,3.326279e-05,0
0.9999678,3.2236574e-05,0
0.0035206368,0.99647933,1
0.99996734,3.2615557e-05,0
0.9999672,3.2781576e-05,0
0.003761484,0.99623847,1
0.0016425874,0.99835736,1
0.0035527148,0.99644727,1
0.0018805562,0.9981194,1
0.9999672,3.2781576e-05,0
0.99996746,3.2498818e-05,0
0.9999677,3.226419e-05,0
0.00417775,0.9958222,1
0.9999672,3.2781576e-05,0
0.0032478648,0.99675214,1
0.0023656692,0.9976343,1
0.003501032,0.99649894,1
0.99996734,3.2647393e-05,0
0.0016843798,0.9983157,1
0.9999676,3.2411725e-05,0
0.99996746,3.2498818e-05,0
0.002961553,0.9970385,1
0.0022657637,0.9977342,1
0.011208398,0.9887916,1
0.014905951,0.9850941,1
0.9999678,3.213271e-05,0
0.999967,3.298969e-05,0
0.0025825459,0.99741745,1
0.0029796269,0.9970203,1
0.99995494,4.506969e-05,0
0.006196308,0.99380374,1
0.0038936036,0.9961063,1
0.0022074194,0.9977926,1
0.9999672,3.2781576e-05,0
0.002514071,0.9974859,1
0.9999677,3.226419e-05,0
0.003254933,0.996745,0
0.99996746,3.2498818e-05,0
0.9999672,3.2781576e-05,0
0.9999678,3.213271e-05,0
0.999969,3.1006497e-05,0
0.0059921616,0.9940078,1
0.9999672,3.2781576e-05,0
0.0014358705,0.9985642,1
0.9999677,3.226419e-05,0
0.99996305,3.692214e-05,0
0.9999678,3.213271e-05,0
0.9999678,3.21328e-05,0
0.0015992916,0.99840075,1
0.99996555,3.444778e-05,0
0.9999682,3.1846528e-05,0
0.9999678,3.213271e-05,0
0.99996173,3.822153e-05,0
0.0051784893,0.99482155,1
0.9999677,3.2345153e-05,0
0.9999677,3.234821e-05,0
0.99996805,3.1968026e-05,0
0.9999676,3.2411725e-05,0
0.9999685,3.1429772e-05,0
0.9999678,3.213271e-05,0
0.9999635,3.6456557e-05,0
0.9999497,5.0363073e-05,0
0.9999678,3.2132768e-05,0
0.99996626,3.3689063e-05,0
0.99996614,3.3853892e-05,0
0.9999691,3.093036e-05,0
0.9999548,4.5165292e-05,0
0.0014094602,0.9985905,1
0.9999629,3.7044734e-05,0
0.9999689,3.1162897e-05,0
0.999967,3.3048258e-05,0
0.9999678,3.220987e-05,0
0.99996734,3.2718053e-05,0
0.9999654,3.462471e-05,0
0.012114016,0.98788595,1
0.0017980079,0.99820197,1
0.0014571068,0.9985429,1
0.9999676,3.240177e-05,0
0.99996793,3.2069827e-05,0
0.99996793,3.2054784e-05,0
0.9999664,3.3624226e-05,0
0.0017712428,0.9982287,1
0.99996674,3.3258126e-05,0
0.9999682,3.1830466e-05,0
0.9999633,3.6674428e-05,0
0.9999672,3.2781576e-05,0
0.5154854,0.48451462,0
0.9999678,3.21328e-05,0
0.99996936,3.0635805e-05,0
0.99996734,3.2655615e-05,0
0.9999678,3.2134823e-05,0
0.9999552,4.484405e-05,0
0.9999677,3.226419e-05,0
0.0014147465,0.9985852,1
0.0018255137,0.9981744,1
0.9999676,3.2372056e-05,0
0.9999689,3.116287e-05,0
0.9999682,3.1830466e-05,0
0.9999677,3.226419e-05,0
0.9999652,3.481576e-05,0
0.9999683,3.1747553e-05,0
0.9999685,3.147711e-05,0
0.005185092,0.99481493,1
0.99996734,3.2680164e-05,0
0.99996555,3.4409102e-05,0
0.9999678,3.213271e-05,0
0.9999677,3.226419e-05,0
0.9999677,3.226419e-05,0
0.9999677,3.2345153e-05,0
