prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,true_label
0.49549246,0.29465458,0.17137316,0.0109811025,0.016063053,0.011435683,0
0.4689603,0.36830974,0.11354512,0.013845726,0.02205178,0.013287391,0
0.41626388,0.32650954,0.21472834,0.012039194,0.016566567,0.0138924355,0
0.44961026,0.31986803,0.19843401,0.009014138,0.012867024,0.010206494,0
0.6252867,0.2379024,0.10891332,0.009392386,0.010887896,0.0076172524,0
0.4878016,0.30107078,0.17321055,0.010703594,0.015842075,0.011371445,0
0.45424497,0.3300165,0.15884545,0.014358464,0.026135366,0.016399255,0
0.43111265,0.32313982,0.2068091,0.010994378,0.015454487,0.0124895545,0
0.4825452,0.33795786,0.1279126,0.013069634,0.02320963,0.015305054,0
0.3951525,0.3354995,0.21532932,0.015071423,0.020856094,0.018091114,0
0.44913232,0.3193377,0.20229386,0.008281809,0.01129455,0.009659857,0
0.42390433,0.34108928,0.19298758,0.011042291,0.016354512,0.014621916,0
0.50362754,0.3011988,0.1426902,0.0138849085,0.021130813,0.017467702,0
0.5217332,0.2853139,0.16497107,0.008060328,0.011556191,0.008365296,0
0.6135449,0.30727628,0.07832125,0.00014803976,0.0002274104,0.0004821906,1
0.28842866,0.42820427,0.17259778,0.024721028,0.040733866,0.045314357,1
0.43223345,0.3237171,0.20573379,0.0107842935,0.015308511,0.012222706,1
0.33282262,0.3769368,0.21227281,0.019667318,0.029557284,0.028743137,1
0.3047068,0.4006942,0.14804381,0.029476758,0.05482863,0.062249694,1
0.321307,0.39385152,0.2027486,0.019601261,0.02994264,0.032548957,1
0.447827,0.37338248,0.1329119,0.012798351,0.020708071,0.012372086,1
0.32306582,0.37866205,0.1997221,0.024054158,0.037413675,0.037082206,1
0.41474155,0.34205863,0.13568766,0.0294141,0.045884307,0.03221375,1
0.49398184,0.3032887,0.17934307,0.006612688,0.009437357,0.007336267,1
0.47740775,0.30807996,0.1865821,0.007914146,0.011226805,0.00878925,1
0.48519617,0.3055682,0.17871425,0.008556305,0.012869907,0.009095239,1
0.22573888,0.27864167,0.05679932,0.0841957,0.13672759,0.21789677,1
0.3017841,0.43308675,0.1738605,0.019198684,0.031178625,0.040891264,1
0.47656146,0.331702,0.14900927,0.010404366,0.01920338,0.013119574,1
0.45675302,0.3247172,0.17620975,0.011216939,0.016495971,0.014607212,2
0.4115355,0.3245314,0.21325696,0.014367801,0.020181857,0.0161265,2
0.38972482,0.33893964,0.2043246,0.018317172,0.02669764,0.021996072,2
5.3160144e-05,0.07292198,6.3942425e-05,0.00095856906,0.006474752,0.91952765,3
0.18863079,0.4669565,0.053562753,0.17529516,0.08570067,0.029854164,3
0.11330962,0.28216407,0.010670636,0.10797879,0.105608426,0.38026848,3
0.33442366,0.31982017,0.1515987,0.04606783,0.076644816,0.07144475,4
0.25712287,0.23561445,0.03363516,0.058071494,0.11815349,0.29740247,4
0.481179,0.29357785,0.1848631,0.0118754795,0.015785484,0.012719015,5
0.08158868,0.19100767,0.014782211,0.04811879,0.12977187,0.53473073,5
0.08829518,0.16885844,0.008888576,0.03681569,0.10875329,0.58838886,5
0.00048054327,0.33428082,8.247763e-07,0.06659783,0.038111497,0.56052846,5
0.05106107,0.22055183,0.0012366322,0.03532765,0.08728474,0.6045381,5
