prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,true_label
4.0827597076309735e-08,5.600120834405559e-06,1.959553739813071e-06,6.012658300525783e-09,0.9999362762768463,3.144001963180312e-09,4.786814440254894e-09,2.315208206605517e-07,6.419729043542759e-09,2.8962647074594524e-06,4.43144536620651e-09,7.33715572179511e-08,5.287965629379298e-05,2.192745143428759e-09,2.9097285687186473e-09,3.301223796875522e-09,2.8664774370046834e-09,2.828247399505132e-09,3.514531186652555e-09,4
1.6950359238819621e-07,5.821258121971236e-05,1.0936870996243688e-05,3.306234810518268e-06,4.2406316996734493e-07,9.702164205372947e-07,1.968524026484841e-06,3.2074346576340175e-07,6.114479990994195e-07,1.6373078834077906e-07,1.6752774007377342e-06,3.2668001644001134e-07,3.2951959779453573e-06,0.0001073392833976941,4.607877832768812e-06,1.6708376812853442e-05,2.354524144575586e-05,0.9997607055034492,4.712647177593293e-06,17
5.20167294180112e-09,3.2531649456095705e-06,1.8738797874926667e-05,1.1925292814461099e-08,0.9999698729363862,2.9099854945611173e-08,8.44916688671475e-09,8.923701570284946e-09,5.2185833096977584e-06,2.9156842923503896e-08,2.2668927276680618e-08,9.41871217547334e-09,2.6953369503354147e-06,1.847740285899193e-08,3.457389474806132e-08,1.7715082262128368e-08,9.72143857751235e-09,6.2360037036653745e-09,9.612539400778551e-09,4
4.419660505185423e-08,0.9992624107625615,0.0007361765412505295,3.247480768371494e-07,5.7783385003170546e-08,1.1265099583195136e-07,9.011070623620297e-08,4.522456550101384e-08,5.2699528052396006e-08,5.941773712435611e-09,7.056969593792311e-08,1.9483731554973748e-07,9.009025917212283e-08,3.726725005464226e-08,3.931865749645114e-08,5.903261404882111e-08,8.311030527378405e-08,4.222554643322099e-08,6.288890808613671e-08,1
6.348883019903483e-07,6.19551978233799e-06,7.159031344931555e-05,3.14525521775218e-08,1.1484930159795119e-08,0.9996187934660152,4.786955724371831e-08,2.53399866559624e-07,6.905270996293644e-07,1.1049861285165778e-09,0.00028744452290268673,2.512160912722716e-06,2.2002919262205517e-07,2.0832149189336933e-08,6.483855413822476e-08,2.3744125371960815e-08,1.14302127607266e-05,2.0166197480694344e-08,1.3466663965969518e-08,5
1.3946759390488582e-07,0.00021393476117403351,8.113924967912332e-07,3.128235479360361e-07,2.4533960970169184e-07,5.029084152747337e-07,1.0917667363735402e-06,6.461432546133405e-07,0.9997762117506124,3.234523424080984e-07,9.79974361016816e-07,2.05017034835101e-07,2.5944916118035413e-06,3.666261745628273e-07,8.182785338062623e-07,3.6262764017702716e-07,2.1190948412433242e-07,1.3601807903177887e-07,1.0525129710084593e-07,8
0.999999262094091,3.185489613854744e-07,7.37282860787585e-08,8.821477294342746e-09,9.636532828875794e-09,9.250295241883392e-09,2.411495806079856e-08,3.3322454691709858e-09,5.739697868155833e-09,4.90145488804362e-09,9.985860079785672e-09,1.599162639500313e-07,1.0850267422478491e-08,7.192936659193739e-09,4.909011981244137e-08,9.509288416527926e-09,1.565681375934445e-08,7.120009139713198e-09,1.051044078618771e-08,0
9.471384932038824e-05,0.007223535197768857,0.9926565546010943,1.5965949874235093e-06,1.7363637860863696e-06,1.3414298142783415e-06,1.7284521470930442e-06,6.486236746148852e-07,1.8146436294927387e-06,1.8055737538184256e-07,2.5152417766569465e-06,1.792833404803859e-06,2.5395920882981644e-06,1.1483936190249082e-06,1.192320539676929e-06,2.556394061862085e-06,2.1350198629161052e-06,1.2786615204247983e-06,9.912295279193863e-07,2
2.418871363776003e-06,6.363810710810535e-05,0.9999172975981924,1.1536276180754978e-06,1.2353163863470269e-06,9.516071925544804e-07,1.2844731347207227e-06,4.260957223072773e-07,7.896669685273221e-07,5.211231500480031e-07,1.5024165162243977e-06,1.263825854641953e-06,1.7279673355007553e-06,8.134920177706272e-07,8.389210993989378e-07,1.2558899283637562e-06,1.2875240664518254e-06,8.988039415453881e-07,6.946724032337047e-07,2
0.0034224711722967522,0.9929449596699635,0.0030753157779749777,3.7738685645044135e-05,4.136605059177423e-05,3.1890248404317015e-05,4.1305108009489934e-05,1.448792980397593e-05,2.796132263768944e-05,1.8333685930772447e-05,5.175325298054472e-05,4.639982251601978e-05,5.2348869845680376e-05,2.6742998799594175e-05,2.821294773499995e-05,4.121460898585683e-05,4.283491312620551e-05,3.0912142704177825e-05,2.3750792048608874e-05,1
2.744532810772935e-07,9.449429744531375e-07,3.495205381221884e-07,0.9999824369263126,7.433670528620334e-08,1.975623623509722e-06,7.728969752565636e-08,3.069483075971803e-08,4.411259024217606e-06,9.282414059696557e-08,2.5304952871756437e-07,1.0327592418431768e-07,2.1825915831084784e-07,1.7780236197065302e-07,3.820471615646997e-07,5.665171242500616e-06,6.566130161418495e-08,9.10076548870956e-07,1.5567856444999007e-06,3
1.4467171961785156e-05,1.1665644059573851e-05,8.08163802558008e-07,3.397406664505642e-08,8.589005665546008e-08,4.787078742969371e-06,1.3435516087561528e-06,0.9995818316065475,0.0003817122485219548,6.592668861710689e-09,1.581816234355665e-07,2.548673719689589e-08,1.9842024919633507e-06,5.152208680889262e-08,1.0289346461180418e-07,4.637937145702541e-08,8.214241688708693e-07,5.40668397810879e-08,1.3921178534259424e-08,7
6.508166035646115e-06,9.956986810007067e-06,1.1009578600588255e-06,3.3446456988253245e-08,6.398292929795067e-08,4.719789935148908e-06,3.7991550747218964e-08,0.9999301504839374,3.1429771318248285e-05,6.7241340630872075e-09,5.771215647058268e-08,2.5122776937486892e-08,1.486900361266411e-05,4.2936901751598156e-08,9.75251100496261e-08,4.5731188904485195e-08,7.86635880225822e-07,5.3306526239481264e-08,1.3724879048898507e-08,7
8.799943212985106e-06,1.5851560548267085e-06,4.578314289567114e-06,2.62654340282623e-07,1.5347459559952857e-07,3.2803838560054295e-07,4.200071356346208e-07,4.078891753446279e-07,0.999922229480518,5.8327242680664375e-05,6.310245125292657e-07,1.2910471873297398e-07,8.338605698444257e-07,2.442751204073463e-07,5.755527042921028e-07,2.3137729270113557e-07,1.1099349080729798e-07,8.586611493030347e-08,6.574508715387248e-08,8
1.3074573124707027e-05,4.98252900925975e-07,5.139548702510251e-08,0.9999763527147283,1.4252692973687623e-08,2.161624704822448e-08,1.4774285405463077e-08,1.8340570580052917e-08,8.719491380342636e-09,3.4584889910067317e-09,2.3597560507010473e-08,1.9726779911531897e-08,1.442334302746252e-08,2.2014318929570448e-07,1.1044058620657912e-06,6.222983526881463e-07,7.687407706325833e-07,8.799187883167158e-07,6.288647336138052e-06,3
0.00015721056111963962,0.6089865053530397,0.38537572685010724,0.000176954516816037,0.00015516136986587503,0.0002885138362189572,0.0001543093678108194,0.0017989060238090642,0.00011168769544661137,1.5844376612231163e-05,0.00026141074942440915,0.00017200736932890736,0.0002926636597266713,9.966808640604758e-05,0.00011583052293182765,0.00021255599858468737,0.001161693351780801,0.00037484119140140324,8.850911956909643e-05,2
0.9999962754260998,9.71017113923898e-07,2.228228599822604e-06,4.532701941436404e-08,2.922360323470745e-08,2.252321965765812e-08,2.881243360141548e-08,1.0100435455950635e-08,1.947415826108086e-08,1.4929365613500694e-08,3.897112757440197e-08,3.014313811724972e-08,3.3883412360191475e-08,2.174215398823415e-08,1.357053114714214e-07,2.8706630094885992e-08,2.7819369383257472e-08,2.150070401684097e-08,1.646610418818972e-08,0
0.00014143263831571152,1.0884488704402141e-05,0.0002070288331381975,3.2137279038181453e-07,1.4079282007834956e-07,0.9995885310925252,3.2945832484698928e-06,2.4690190754023768e-05,5.309151865457235e-06,2.288782544896548e-08,4.715428754980773e-07,6.379131893585583e-07,1.1437202668305435e-06,2.45367246279165e-06,5.175683665610261e-07,3.718597360937517e-07,6.288790750662775e-06,6.207504794379491e-06,2.5139557011990134e-07,5
8.955238645752702e-08,3.3455865404021603e-06,7.404857146930889e-07,1.6223697768696938e-06,1.05852861282066e-08,0.9999933437295089,1.3998232438240646e-08,1.1660538377676516e-07,1.115935120821971e-07,1.0899352174638416e-09,2.833186990581525e-08,2.3397605599488442e-07,9.680406362426375e-08,2.412534542421685e-08,4.27547362618627e-08,2.190477022333073e-08,1.379043009562716e-07,7.669574223765897e-09,1.0933006116410676e-08,5
0.9899649432669746,0.006831694993140913,0.0027127081755005987,2.7275710690813375e-06,7.810760206547662e-06,4.036132638355932e-06,7.306520678056344e-06,0.0002619673647271014,1.6719667765658303e-06,3.067719929833333e-07,3.0769008766240654e-06,0.00015164268857063436,3.30619256217409e-05,1.872303874743124e-06,2.0242102303758388e-06,3.0317398339695432e-06,4.715414383217597e-06,2.1687020206277706e-06,3.2325908830202587e-06,0
0.041938035977482246,0.06302525323843128,4.374687402377044e-05,0.00017079879023210398,4.124198339814038e-05,0.8917411239663048,0.0009032805165815876,2.384422422193691e-05,0.0010224020822756053,9.718139994854231e-06,0.00011130296584903798,0.00018742385722932454,0.00022494108174542004,9.976585548913258e-05,0.00021692129214619351,0.00010804913481010844,5.051415655966124e-05,3.488240178709951e-05,4.6753461437752304e-05,5
2.2614186400661794e-08,2.6403679089903334e-05,3.862916156062558e-08,1.0992059831963712e-05,1.5869148377895136e-08,0.9999592740787945,4.1009845032109664e-08,2.863579275012838e-08,7.147014159182961e-07,1.609851998885256e-09,4.2670872960242114e-08,2.070005858798682e-06,1.2468120555054776e-07,3.8465401052196294e-08,8.58802679244848e-08,3.0461237662447623e-08,4.451648807065716e-08,1.3895918162448301e-08,1.6535631540650795e-08,5
0.9999783740852701,7.331291472871571e-06,1.2697682867103287e-05,4.235746902324476e-08,4.647739151353128e-08,4.4675809786811205e-08,1.1644022051474898e-07,1.6063172623201462e-08,2.7646799286129643e-08,2.3682557933405647e-08,4.819529954403732e-08,8.969789925467677e-07,5.392118784815979e-08,2.982589024822812e-08,3.348990400066315e-08,4.5897313311057327e-08,8.832688829960838e-08,3.4369508432328784e-08,4.859198497127035e-08,0
1.6757275548853376e-06,4.935812369067819e-05,0.00164645365717084,8.664451312520964e-07,3.187117614839965e-07,5.885028040428113e-06,4.453116876819592e-07,2.915184124370814e-05,1.9501228383163293e-07,3.28164829773172e-08,8.854831964918727e-05,5.068992973473702e-06,5.47358966417136e-07,6.573808538393513e-06,8.939123120402918e-06,3.2219014828028893e-07,0.9981237498492418,3.152429486434795e-05,3.4338744975704704e-07,16
1.1500585318199201e-08,0.0001667721441914943,4.8339178297612025e-05,9.710918170106309e-09,1.3676658471577385e-08,1.9199747192988644e-08,6.112063936269447e-08,3.5976324260760897e-09,4.237493020542884e-08,1.981133437080809e-08,0.999784519760454,1.1445625886054089e-08,1.6284526808807893e-08,6.9542618407768e-09,7.084568932889003e-09,1.0615571326538122e-08,1.1128237927218683e-07,1.836573502821558e-08,5.891942211455484e-09,10
