index,true_label,pred_label,true_label_decoded,pred_label_decoded
17,1,0,1,0
62,1,0,1,0
231,1,0,1,0
235,1,0,1,0
263,1,0,1,0
368,1,0,1,0
435,1,0,1,0
506,1,0,1,0
524,1,0,1,0
552,1,0,1,0
718,1,0,1,0
829,1,0,1,0
848,1,0,1,0
897,1,0,1,0
917,1,0,1,0
1201,1,0,1,0
1227,1,0,1,0
1256,1,0,1,0
1312,1,0,1,0
1413,1,0,1,0
1584,1,0,1,0
1588,1,0,1,0
1624,1,0,1,0
1633,1,0,1,0
1987,1,0,1,0
1993,1,0,1,0
2169,1,0,1,0
2235,1,0,1,0
2302,1,0,1,0
2337,1,0,1,0
2463,1,0,1,0
2502,1,0,1,0
2637,1,0,1,0
2767,1,0,1,0
2774,1,0,1,0
2979,1,0,1,0
2982,1,0,1,0
3065,1,0,1,0
3086,1,0,1,0
3109,1,0,1,0
3141,1,0,1,0
3143,1,0,1,0
3170,1,0,1,0
3219,1,0,1,0
3261,1,0,1,0
3276,1,0,1,0
3294,1,0,1,0
3323,1,0,1,0
3366,1,0,1,0
3396,1,0,1,0
3933,1,0,1,0
4021,1,0,1,0
4078,1,0,1,0
4144,1,0,1,0
4264,1,0,1,0
4452,1,0,1,0
4856,1,0,1,0
4957,1,0,1,0
5048,1,0,1,0
5169,1,0,1,0
5221,1,0,1,0
5232,1,0,1,0
5259,1,0,1,0
5322,1,0,1,0
5452,1,0,1,0
5467,1,0,1,0
5475,1,0,1,0
5497,1,0,1,0
5519,1,0,1,0
5614,1,0,1,0
5662,1,0,1,0
5763,1,0,1,0
5867,1,0,1,0
5876,1,0,1,0
5977,1,0,1,0
6017,1,0,1,0
6085,1,0,1,0
6087,1,0,1,0
6103,1,0,1,0
6249,1,0,1,0
6367,1,0,1,0
6493,1,0,1,0
6559,1,0,1,0
6725,1,0,1,0
6742,1,0,1,0
6905,1,0,1,0
7004,1,0,1,0
7025,1,0,1,0
7026,1,0,1,0
7036,1,0,1,0
7080,1,0,1,0
7132,1,0,1,0
7264,1,0,1,0
7330,1,0,1,0
7358,1,0,1,0
7389,1,0,1,0
7469,1,0,1,0
7509,1,0,1,0
7528,1,0,1,0
7549,1,0,1,0
7553,1,0,1,0
7764,1,0,1,0
7770,1,0,1,0
7833,1,0,1,0
7860,1,0,1,0
8039,1,0,1,0
8266,1,0,1,0
8321,1,0,1,0
8456,1,0,1,0
8522,1,0,1,0
8782,1,0,1,0
8819,1,0,1,0
8935,1,0,1,0
8936,1,0,1,0
8942,1,0,1,0
9129,1,0,1,0
9215,1,0,1,0
9327,1,0,1,0
9382,1,0,1,0
9387,1,0,1,0
9408,1,0,1,0
9528,1,0,1,0
9545,1,0,1,0
9651,1,0,1,0
9689,1,0,1,0
9901,1,0,1,0
9944,1,0,1,0
10139,1,0,1,0
10209,1,0,1,0
10233,1,0,1,0
10372,1,0,1,0
10546,1,0,1,0
10624,1,0,1,0
10662,1,0,1,0
10729,1,0,1,0
11084,1,0,1,0
11119,1,0,1,0
11222,1,0,1,0
11244,1,0,1,0
11260,1,0,1,0
11278,1,0,1,0
11342,1,0,1,0
11553,1,0,1,0
11717,1,0,1,0
11834,1,0,1,0
11931,1,0,1,0
12076,1,0,1,0
12113,1,0,1,0
12183,1,0,1,0
12225,1,0,1,0
12281,1,0,1,0
12404,0,1,0,1
12434,0,1,0,1
12439,0,1,0,1
12449,0,1,0,1
12478,0,1,0,1
12492,0,1,0,1
12493,0,1,0,1
12494,0,1,0,1
12511,0,1,0,1
12534,0,1,0,1
12561,0,1,0,1
12635,0,1,0,1
12649,0,1,0,1
12730,0,1,0,1
12746,0,1,0,1
12768,0,1,0,1
12838,0,1,0,1
12847,0,1,0,1
12864,0,1,0,1
12913,0,1,0,1
12931,0,1,0,1
12973,0,1,0,1
12993,0,1,0,1
13005,0,1,0,1
13022,0,1,0,1
13035,0,1,0,1
13067,0,1,0,1
13095,0,1,0,1
13142,0,1,0,1
13157,0,1,0,1
13159,0,1,0,1
13177,0,1,0,1
13186,0,1,0,1
13200,0,1,0,1
13211,0,1,0,1
13224,0,1,0,1
13233,0,1,0,1
13255,0,1,0,1
13280,0,1,0,1
13301,0,1,0,1
13333,0,1,0,1
13389,0,1,0,1
13400,0,1,0,1
13410,0,1,0,1
13503,0,1,0,1
13512,0,1,0,1
13529,0,1,0,1
13546,0,1,0,1
13578,0,1,0,1
13587,0,1,0,1
13599,0,1,0,1
13643,0,1,0,1
13660,0,1,0,1
13662,0,1,0,1
13675,0,1,0,1
13702,0,1,0,1
13735,0,1,0,1
13741,0,1,0,1
13744,0,1,0,1
13813,0,1,0,1
13821,0,1,0,1
13848,0,1,0,1
13857,0,1,0,1
13859,0,1,0,1
13860,0,1,0,1
13901,0,1,0,1
13923,0,1,0,1
13927,0,1,0,1
13941,0,1,0,1
13958,0,1,0,1
13980,0,1,0,1
13990,0,1,0,1
14007,0,1,0,1
14026,0,1,0,1
14031,0,1,0,1
14038,0,1,0,1
14039,0,1,0,1
14067,0,1,0,1
14068,0,1,0,1
14074,0,1,0,1
14121,0,1,0,1
14158,0,1,0,1
14179,0,1,0,1
14260,0,1,0,1
14264,0,1,0,1
14271,0,1,0,1
14280,0,1,0,1
14311,0,1,0,1
14361,0,1,0,1
14366,0,1,0,1
14396,0,1,0,1
14428,0,1,0,1
14442,0,1,0,1
14452,0,1,0,1
14473,0,1,0,1
14527,0,1,0,1
14537,0,1,0,1
14539,0,1,0,1
14569,0,1,0,1
14575,0,1,0,1
14634,0,1,0,1
14694,0,1,0,1
14737,0,1,0,1
14769,0,1,0,1
14776,0,1,0,1
14835,0,1,0,1
14852,0,1,0,1
14873,0,1,0,1
14969,0,1,0,1
15050,0,1,0,1
15071,0,1,0,1
15133,0,1,0,1
15135,0,1,0,1
15185,0,1,0,1
15188,0,1,0,1
15191,0,1,0,1
15195,0,1,0,1
15221,0,1,0,1
15232,0,1,0,1
15244,0,1,0,1
15247,0,1,0,1
15260,0,1,0,1
15274,0,1,0,1
15275,0,1,0,1
15286,0,1,0,1
15353,0,1,0,1
15354,0,1,0,1
15367,0,1,0,1
15374,0,1,0,1
15383,0,1,0,1
15389,0,1,0,1
15390,0,1,0,1
15418,0,1,0,1
15453,0,1,0,1
15519,0,1,0,1
15528,0,1,0,1
15540,0,1,0,1
15582,0,1,0,1
15605,0,1,0,1
15635,0,1,0,1
15650,0,1,0,1
15651,0,1,0,1
15686,0,1,0,1
15693,0,1,0,1
15702,0,1,0,1
15709,0,1,0,1
15736,0,1,0,1
15747,0,1,0,1
15780,0,1,0,1
15789,0,1,0,1
15823,0,1,0,1
15911,0,1,0,1
15926,0,1,0,1
15963,0,1,0,1
15995,0,1,0,1
16000,0,1,0,1
16038,0,1,0,1
16123,0,1,0,1
16131,0,1,0,1
16210,0,1,0,1
16252,0,1,0,1
16274,0,1,0,1
16289,0,1,0,1
16338,0,1,0,1
16366,0,1,0,1
16440,0,1,0,1
16442,0,1,0,1
16456,0,1,0,1
16466,0,1,0,1
16479,0,1,0,1
16550,0,1,0,1
16556,0,1,0,1
16618,0,1,0,1
16640,0,1,0,1
16665,0,1,0,1
16674,0,1,0,1
16687,0,1,0,1
16689,0,1,0,1
16726,0,1,0,1
16754,0,1,0,1
16834,0,1,0,1
16848,0,1,0,1
16849,0,1,0,1
16850,0,1,0,1
16854,0,1,0,1
16884,0,1,0,1
16893,0,1,0,1
16906,0,1,0,1
16908,0,1,0,1
16923,0,1,0,1
16939,0,1,0,1
16944,0,1,0,1
16945,0,1,0,1
16958,0,1,0,1
17017,0,1,0,1
17038,0,1,0,1
17067,0,1,0,1
17078,0,1,0,1
17088,0,1,0,1
17095,0,1,0,1
17145,0,1,0,1
17233,0,1,0,1
17243,0,1,0,1
17244,0,1,0,1
17283,0,1,0,1
17336,0,1,0,1
17360,0,1,0,1
17362,0,1,0,1
17423,0,1,0,1
17425,0,1,0,1
17470,0,1,0,1
17478,0,1,0,1
17504,0,1,0,1
17515,0,1,0,1
17532,0,1,0,1
17570,0,1,0,1
17584,0,1,0,1
17603,0,1,0,1
17635,0,1,0,1
17645,0,1,0,1
17683,0,1,0,1
17763,0,1,0,1
17770,0,1,0,1
17833,0,1,0,1
17851,0,1,0,1
17889,0,1,0,1
17951,0,1,0,1
17989,0,1,0,1
18011,0,1,0,1
18014,0,1,0,1
18054,0,1,0,1
18069,0,1,0,1
18075,0,1,0,1
18084,0,1,0,1
18098,0,1,0,1
18122,0,1,0,1
18145,0,1,0,1
18182,0,1,0,1
18202,0,1,0,1
18270,0,1,0,1
18294,0,1,0,1
18329,0,1,0,1
18342,0,1,0,1
18370,0,1,0,1
18376,0,1,0,1
18386,0,1,0,1
18389,0,1,0,1
18422,0,1,0,1
18428,0,1,0,1
18438,0,1,0,1
18455,0,1,0,1
18464,0,1,0,1
18479,0,1,0,1
18499,0,1,0,1
18513,0,1,0,1
18545,0,1,0,1
18568,0,1,0,1
18594,0,1,0,1
18624,0,1,0,1
18636,0,1,0,1
18655,0,1,0,1
18677,0,1,0,1
18687,0,1,0,1
18780,0,1,0,1
18833,0,1,0,1
18848,0,1,0,1
18855,0,1,0,1
18860,0,1,0,1
18867,0,1,0,1
18871,0,1,0,1
18878,0,1,0,1
18889,0,1,0,1
18898,0,1,0,1
18918,0,1,0,1
18926,0,1,0,1
18933,0,1,0,1
