prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,true_label
0.013345778,0.93387026,6.949808e-07,1.660547e-16,0.052780353,3.0090548e-06,2.1352172e-19,4
0.12383773,0.8599761,1.4228475e-05,4.8642922e-17,0.016171856,3.1698008e-08,8.022146e-12,1
0.015510591,0.9216205,7.5036536e-07,1.712962e-16,0.06286479,3.2748367e-06,5.766773e-19,4
0.016697872,0.90490013,2.1452732e-07,4.9559046e-18,0.0784012,5.4349454e-07,3.8818346e-21,4
0.14466588,0.6235341,9.45497e-05,3.887967e-15,0.23170449,9.3915065e-07,5.008558e-15,4
0.009880996,0.85838336,9.2072456e-05,2.5386905e-18,0.13164346,1.2937865e-07,2.8888157e-14,4
0.0030351852,0.8114312,4.594329e-05,5.48413e-19,0.18548739,1.6672293e-07,3.9112458e-14,4
0.07567778,0.790787,0.00081450766,5.0107325e-13,0.13271937,1.4184783e-06,2.287941e-13,4
0.1918201,0.80791825,1.3327261e-07,2.3898502e-13,0.0002615873,9.011288e-10,3.29666e-15,1
0.0011467737,0.76166207,5.660909e-07,1.6860058e-19,0.2371906,3.2188986e-08,3.9661417e-25,4
0.002243425,0.7928755,0.000110472865,3.616086e-18,0.20477052,9.420977e-08,7.368881e-15,4
0.5086177,0.49071074,7.779345e-07,3.567435e-17,0.00067046675,1.58888e-07,4.448088e-08,0
0.08789159,0.86386734,1.4712229e-05,1.5709929e-14,0.048219666,6.7238952e-06,1.7436643e-13,0
0.0017018613,0.7485456,4.5356353e-07,7.697822e-19,0.24975204,1.12057435e-07,1.5224919e-24,4
0.28778604,0.7122072,9.446842e-09,2.854226e-23,6.6692987e-06,3.4518058e-10,2.3057732e-08,1
0.00086607004,0.7783997,8.39006e-07,1.0907595e-18,0.2207335,3.452337e-08,2.0583326e-24,4
0.32476115,0.6752255,1.0592867e-07,1.6656268e-19,8.095394e-06,1.3981056e-08,5.178597e-06,1
0.27698484,0.72168213,9.1870163e-07,3.1193763e-20,0.0013320221,2.4178494e-08,1.1693556e-09,1
0.18153262,0.8066569,2.436693e-05,1.5507593e-17,0.011785377,8.102906e-07,1.5848657e-10,1
0.2538897,0.7460592,1.122432e-06,6.2176705e-12,4.9972907e-05,5.489994e-09,4.1032398e-15,1
0.3192217,0.67724544,4.845021e-06,1.3624137e-13,0.003527261,7.1780585e-07,1.944866e-11,1
0.0021162059,0.94643635,8.277004e-05,2.9666082e-16,0.051364455,1.0875326e-07,1.0616645e-18,1
0.16176614,0.83464235,1.2192513e-06,5.183079e-18,3.2713888e-06,4.142502e-09,0.0035871065,1
0.049786404,0.93249506,1.9076624e-07,1.4164793e-19,0.017718384,3.136692e-08,1.7451747e-17,1
0.1883897,0.8063763,4.6459136e-06,4.5098313e-18,0.0052291164,2.5136444e-07,1.8307302e-11,0
0.7062697,0.28742883,1.0005727e-09,7.419097e-20,3.541371e-08,1.4366308e-10,0.0063014925,0
0.24918136,0.74742323,3.4314035e-05,1.40054504e-11,9.59573e-05,3.9722723e-05,0.0032254518,1
0.009873937,0.98484796,1.3141382e-06,1.4056571e-17,0.0052767997,1.612619e-08,1.3977313e-19,1
0.3623787,0.63497853,3.676889e-06,4.604077e-14,0.0026387272,2.7004603e-07,1.3175615e-10,1
0.256854,0.7230565,4.3662036e-05,1.3320001e-13,0.020045044,7.571288e-07,2.1832399e-11,1
0.26192942,0.73615044,2.712246e-08,2.8204328e-17,0.0019198448,2.470177e-07,2.8726292e-13,1
0.71558124,0.28192088,1.1702865e-08,2.2855639e-17,8.843944e-07,2.4940864e-08,0.0024969748,0
0.37305868,0.6269136,6.095976e-09,9.5427304e-20,2.3647963e-06,8.120727e-09,2.5329475e-05,0
0.4984235,0.48808154,6.3885964e-05,9.8043765e-14,0.008274083,7.075326e-06,0.0051499405,1
0.48102692,0.51896566,1.5538305e-09,9.672014e-18,6.6955486e-06,8.209814e-07,3.6561992e-10,0
0.27104458,0.7289474,3.898835e-09,2.6692826e-20,2.1103795e-06,5.110631e-09,5.9100307e-06,1
0.24742453,0.749506,1.8360663e-06,1.2708663e-19,0.0030675894,5.5014183e-08,3.3560737e-12,1
0.47317994,0.5257587,2.64933e-06,1.8098233e-13,2.3142791e-05,1.9751704e-07,0.0010353108,0
0.21818292,0.7815823,6.6236305e-09,1.6864902e-16,1.1709223e-07,4.512917e-10,0.00023465663,1
0.5540087,0.44448978,8.897706e-09,1.650302e-16,1.7832959e-07,5.933926e-07,0.0015007803,0
0.15052381,0.8428352,2.4575394e-08,7.4884065e-18,0.0066400073,9.788691e-07,8.601741e-15,1
0.31685886,0.68313324,3.8420098e-10,5.914105e-22,4.223653e-08,8.016635e-10,7.818373e-06,1
0.63889873,0.3576875,5.6891697e-10,2.576404e-18,7.5625906e-09,1.6541579e-08,0.003413737,0
0.38758332,0.61239463,5.325096e-08,5.6871036e-17,2.1945012e-05,5.491301e-09,7.526875e-10,1
0.63697153,0.361228,5.161211e-07,5.763996e-19,0.001676942,9.266129e-09,0.00012299158,0
0.012857085,0.96315056,0.00011710462,2.6648366e-16,0.023874389,9.726598e-07,4.911047e-14,1
0.31249598,0.6874282,1.3121152e-06,6.453973e-16,7.405135e-05,4.991892e-07,1.3468669e-11,1
0.1362155,0.8509529,2.558807e-06,5.748681e-17,0.012807971,2.1029442e-05,1.2479489e-12,1
0.42377254,0.5760114,2.084893e-06,4.3214208e-17,0.00019116132,2.1393957e-07,2.2642665e-05,0
0.04272016,0.9557586,6.0592294e-05,1.2797065e-13,0.0014602061,4.4571476e-07,4.2095193e-13,1
0.11228284,0.88767,8.3605534e-07,7.6919746e-14,4.4411885e-05,1.9264476e-07,1.700581e-06,1
0.679149,0.30451512,1.0559539e-06,6.1311574e-15,1.4417186e-07,2.7394556e-08,0.01633468,0
0.1140216,0.88342214,1.17985e-05,3.0637033e-14,0.0025443404,7.930087e-08,4.8479124e-13,1
